,0
0,17651
1,17653
2,17652
3,17734
4,17692
5,17725
6,17710
7,17677
8,17693
9,112892441
10,112892439
11,17666
12,111220942
13,111220948
14,111220944
15,111220946
16,17654
17,17656
18,17695
19,17694
20,112892447
21,112892445
22,112892443
23,17667
24,17669
25,17727
26,17726
27,17655
28,17712
29,17678
30,17679
31,17711
32,17671
33,17657
34,17659
35,17665
36,17668
37,17670
38,17674
39,17680
40,17682
41,17689
42,17696
43,17698
44,17709
45,17713
46,17715
47,17724
48,17728
49,17730
50,17733
51,17729
52,17699
53,17716
54,17717
55,17721
56,17662
57,17675
58,17673
59,17672
60,17661
61,17732
62,17660
63,17691
64,17690
65,17686
66,17731
67,17697
68,17703
69,17704
70,17708
71,17658
72,17683
73,17681
74,17676
75,17664
76,17714
77,17663
78,17700
79,17701
80,17702
81,17685
82,17688
83,17705
84,17706
85,17707
86,17687
87,17718
88,17719
89,17720
90,17684
91,17722
92,17723
