,0
0,16808
1,17220
2,17352
3,16809
4,17092
5,17416
6,17156
7,17476
8,16810
9,17290
10,17353
11,17221
12,17093
13,16915
14,17596
15,17538
16,17023
17,17091
18,17539
19,17540
20,17289
21,17182
22,17355
23,16811
24,17157
25,16911
26,17094
27,17291
28,17292
29,17437
30,17095
31,17500
32,17477
33,17351
34,17595
35,17650
36,17155
37,17053
38,17562
39,17478
40,16919
41,17318
42,17219
43,17598
44,17223
45,17158
46,17417
47,17418
48,17222
49,17022
50,16876
51,17620
52,17537
53,17475
54,17354
55,16916
56,16813
57,17380
58,17024
59,16967
60,17250
61,17415
62,17025
63,17597
64,17123
65,111220770
66,111220772
67,112892383
68,17251
69,112892385
70,112892343
71,17066
72,17599
73,112892345
74,111220912
75,111220918
76,111220916
77,17563
78,111220838
79,17196
80,111220840
81,17419
82,17079
83,17581
84,17485
85,17361
86,111220622
87,17612
88,16959
89,112892333
90,112892335
91,17266
92,112892429
93,111220678
94,111220680
95,17096
96,17373
97,111220834
98,17638
99,17036
100,17424
101,111220836
102,17101
103,17275
104,16920
105,111220646
106,17207
107,114403715
108,17571
109,17107
110,17381
111,17170
112,112892323
113,17629
114,112892325
115,17431
116,112892431
117,17113
118,16917
119,111220938
120,17494
121,111220642
122,111220644
123,17603
124,111220914
125,111220706
126,111220708
127,17124
128,112892363
129,112892365
130,17449
131,16994
132,17366
133,17304
134,16912
135,16913
136,111220774
137,111220860
138,111220776
139,111220862
140,17143
141,17293
142,112892421
143,17031
144,112892419
145,16968
146,112892353
147,112892355
148,17298
149,111220710
150,111220712
151,17132
152,111220742
153,111220744
154,16843
155,17042
156,17224
157,17176
158,111220886
159,17311
160,17159
161,17438
162,111220888
163,17501
164,111220648
165,17390
166,112892373
167,111220802
168,111220804
169,17319
170,17229
171,17026
172,16918
173,17512
174,112892395
175,112892397
176,111220806
177,16814
178,17621
179,17400
180,17235
181,17523
182,111220738
183,111220808
184,16950
185,111220940
186,111220616
187,111220674
188,111220676
189,16864
190,17054
191,111220740
192,112892407
193,112892409
194,17183
195,16984
196,111220890
197,111220892
198,17541
199,17242
200,111220620
201,17164
202,17356
203,111220864
204,111220618
205,17547
206,111220866
207,17479
208,16812
209,17338
210,17460
211,16877
212,112892375
213,16954
214,17328
215,17556
216,112892321
217,17144
218,17145
219,17439
220,17440
221,17368
222,114403719
223,112892347
224,112892349
225,112892351
226,17160
227,17161
228,16995
229,17165
230,17166
231,16921
232,17171
233,17172
234,17450
235,16922
236,17451
237,16996
238,16924
239,17177
240,17178
241,17330
242,17027
243,16985
244,17028
245,17184
246,17185
247,16854
248,17600
249,17461
250,17197
251,17198
252,17462
253,16815
254,17374
255,17208
256,17209
257,17375
258,114403723
259,112892427
260,112892425
261,112892423
262,112892357
263,112892359
264,112892361
265,17225
266,17226
267,17032
268,17033
269,17230
270,17231
271,112892399
