,acronym,acronym_path,color,depth,id,name,st_order,structure_graph_id,structure_id,structure_id_path
0,isB,"{mouse,NP,H,PPH,is,isB}",BB2CCC,5,11286,isthmic basal plate,1386,17,16876,"{15564,15565,16808,16809,16810,16876}"
3,r10A,"{mouse,NP,H,MH,r10,r10A}",91D9BF,5,12147,r10 alar plate,2247,17,17540,"{15564,15565,16808,17352,17538,17540}"
4,r3R,"{mouse,NP,H,PH,r3,r3R}",B378FF,5,11557,r3 roof plate,1657,17,17094,"{15564,15565,16808,17092,17093,17094}"
7,isA,"{mouse,NP,H,PPH,is,isA}",EA37FF,5,11217,isthmic alar plate,1317,17,16813,"{15564,15565,16808,16809,16810,16813}"
8,PHyA,"{mouse,NP,F,SP,CSP,PHy,PHyA}",DF7257,6,10577,alar part of peduncular hypothalamus,677,17,16212,"{15564,15565,15566,15567,15738,16211,16212}"
12,isF,"{mouse,NP,H,PPH,is,isF}",A427B3,5,11323,isthmic floor plate,1423,17,16911,"{15564,15565,16808,16809,16810,16911}"
13,r8B,"{mouse,NP,H,MH,r8,r8B}",3FAE99,5,12018,r8 basal plate,2118,17,17437,"{15564,15565,16808,17352,17416,17437}"
19,r1F,"{mouse,NP,H,PPH,r1,r1F}",A741B3,5,11455,r1 floor plate,1555,17,17022,"{15564,15565,16808,16809,16915,17022}"
20,r11R,"{mouse,NP,H,MH,r11,r11R}",CFE9DA,5,12223,r11 roof plate,2323,17,17597,"{15564,15565,16808,17352,17596,17597}"
24,p2F,"{mouse,NP,F,D,p2,ThTg,p2F}",B3A646,6,10877,floor plate of p2,977,17,16502,"{15564,15565,15566,16308,16375,16486,16502}"
25,r6F,"{mouse,NP,H,PMH,r6,r6F}",4181B3,5,11894,r6 floor plate,1994,17,17351,"{15564,15565,16808,17220,17290,17351}"
26,POR,"{mouse,NP,F,SP,RSP,POTel,POR}",C86A39,6,9906,preoptic roof plate,6,17,15570,"{15564,15565,15566,15567,15568,15569,15570}"
27,r7A,"{mouse,NP,H,MH,r7,r7A}",12D9B9,5,11903,r7 alar plate,2003,17,17355,"{15564,15565,16808,17352,17353,17355}"
31,m2R,"{mouse,NP,M,m2,PIsTt,m2R}",93EC93,5,11141,m2 roof,1241,17,16753,"{15564,15565,16649,16751,16752,16753}"
34,m2B,"{mouse,NP,M,m2,PIsTg,m2B}",00A700,5,11186,m2 basal plate,1286,17,16791,"{15564,15565,16649,16751,16790,16791}"
35,r3B,"{mouse,NP,H,PH,r3,r3B}",7635CC,5,11597,r3 basal plate,1697,17,17123,"{15564,15565,16808,17092,17093,17123}"
36,r8F,"{mouse,NP,H,MH,r8,r8F}",379886,5,12058,r8 floor plate,2158,17,17475,"{15564,15565,16808,17352,17416,17475}"
37,THyA,"{mouse,NP,F,SP,RSP,THy,THyA}",A8663A,6,9961,alar part of terminal hypothalamus,61,17,15623,"{15564,15565,15566,15567,15568,15622,15623}"
38,r9R,"{mouse,NP,H,MH,r9,r9R}",AAE7D7,5,12065,r9 roof plate,2165,17,17477,"{15564,15565,16808,17352,17476,17477}"
39,r6B,"{mouse,NP,H,PMH,r6,r6B}",4A93CC,5,11859,r6 basal plate,1959,17,17318,"{15564,15565,16808,17220,17290,17318}"
40,m2A,"{mouse,NP,M,m2,PIsTt,m2A}",00D100,5,11147,m2 alar plate,1247,17,16754,"{15564,15565,16649,16751,16752,16754}"
42,r4F,"{mouse,NP,H,PH,r4,r4F}",6F45B3,5,11719,r4 floor plate,1819,17,17219,"{15564,15565,16808,17092,17156,17219}"
