,0
0,15566
1,15567
2,16308
3,15568
4,16509
5,15738
6,16309
7,16375
8,16211
9,16352
10,15739
11,16623
12,16310
13,15622
14,16376
15,16486
16,16510
17,15569
18,16511
19,16212
20,16641
21,15740
22,16368
23,16502
24,16353
25,15623
26,16624
27,15576
28,16487
29,16313
30,15736
31,16311
32,15750
33,16382
34,15570
35,15666
36,16306
37,16519
38,16377
39,16247
40,15635
41,15636
42,16307
43,16294
44,16285
45,16274
46,16259
47,16248
48,16233
49,16213
50,15653
51,15571
52,16205
53,15751
54,15903
55,15749
56,15741
57,15737
58,15667
59,16626
60,16625
61,15722
62,15712
63,15702
64,15684
65,16612
66,16578
67,16548
68,16520
69,16512
70,16504
71,16503
72,16489
73,16488
74,16643
75,16466
76,16395
77,16383
78,16381
79,16380
80,16378
81,16370
82,15613
83,16642
84,16369
85,16355
86,16354
87,15624
88,15577
89,16332
90,16322
91,16314
92,16312
93,15634
94,15705
95,15572
96,15574
97,111220530
98,111220532
99,15578
100,15587
101,15599
102,15614
103,15615
104,15625
105,15626
106,15637
107,15638
108,15654
109,15655
110,15668
111,15669
112,15685
113,15686
114,15703
115,15713
116,15715
117,15723
118,15742
119,15744
120,111220534
121,111220536
122,15752
123,15784
124,15818
125,15867
126,111220548
127,111220550
128,15904
129,15956
130,16001
131,16114
132,16198
133,16206
134,16207
135,16214
136,16215
137,16234
138,16235
139,16249
140,16250
141,16260
142,16261
143,16275
144,16277
145,16286
146,16287
147,16295
148,111220576
149,111220578
150,16315
151,16323
152,111220580
153,111220582
154,16333
155,16343
156,16356
157,16358
158,16364
159,16371
160,16372
161,16373
162,111220584
163,111220586
164,16379
165,16384
166,111220588
167,111220590
168,16396
169,16437
170,16453
171,111220592
172,111220594
173,16467
174,16476
175,16490
176,16492
177,16497
178,16505
179,16506
180,16507
181,16513
182,16515
183,111220596
184,111220598
185,16521
186,16530
187,16539
188,111220600
189,111220602
190,16549
191,16559
192,16569
193,111220604
194,111220606
195,16579
196,16591
197,16602
198,111220608
199,111220610
200,16613
201,16627
202,16631
203,16636
204,16644
205,16646
206,16647
207,15785
208,16498
209,16496
210,16495
211,16494
212,16493
213,16270
214,16491
215,112892265
216,16016
217,16236
218,15693
219,16199
220,15886
221,16276
222,15600
223,15601
224,15680
225,15663
226,16239
227,16478
228,16477
229,16278
230,16030
231,15917
232,16637
233,15720
234,16280
235,15834
236,15809
237,16580
238,16282
239,16469
240,16468
241,16615
242,16614
243,15575
244,16044
245,16216
246,16551
247,16550
248,16632
249,16620
250,15928
251,16200
252,16244
253,16324
254,16455
255,16454
256,15579
257,15878
258,16058
259,16648
260,16288
261,15718
262,15648
263,15716
264,15753
265,16290
266,16439
267,16438
268,16640
269,16541
270,16540
271,15940
272,16072
273,15629
274,16292
275,15747
276,16630
277,15714
278,16398
279,16397
280,15748
281,15774
282,16638
283,16296
284,16386
285,16385
286,16086
287,15670
288,16532
289,16531
290,16629
291,16297
292,16251
293,16093
294,16593
295,16570
296,15957
297,16253
298,16592
299,111220538
300,16561
301,16523
302,16102
303,16522
304,111220540
305,16628
306,15573
307,15710
308,15765
309,15580
310,15588
311,16374
312,15969
313,16604
314,16316
315,111220562
316,111220564
317,16225
318,15893
319,15642
320,16115
321,15819
322,15589
323,15708
324,15851
325,16603
326,16518
327,15616
328,15617
329,16124
330,16517
331,16516
332,15979
333,16257
334,16317
335,16367
336,16366
337,16365
338,16351
339,16639
340,16363
341,16362
342,16361
343,16360
344,16359
345,16357
346,15639
347,15656
348,15632
349,15620
350,16634
351,16147
352,16514
353,16635
354,15659
355,15706
356,15673
357,15797
358,16154
359,15989
360,16262
361,15704
362,15745
363,16560
364,16645
365,15743
366,16345
367,16163
368,16508
369,16264
370,15687
371,16633
372,16501
373,16344
374,16500
375,16172
376,16499
377,16208
378,15699
379,111220552
380,16571
381,111220554
382,16231
383,16335
384,16334
385,16209
386,15627
387,16210
388,16002
389,16186
390,16581
391,15905
392,15868
393,15725
394,15724
395,16325
396,16089
397,16090
398,16091
399,16092
400,16094
401,16095
402,16096
403,16097
404,16098
405,16099
406,16567
407,16103
408,16104
409,15672
410,15711
411,16607
412,15608
413,15610
414,16605
415,15709
416,111220566
417,111220568
418,111220570
419,16116
420,16117
421,15852
422,16125
423,16126
424,15853
425,15658
426,15707
427,16600
428,15618
429,15619
430,15621
431,16148
432,16149
433,16350
434,16155
435,16156
436,16348
437,16346
438,15776
439,16164
440,16165
441,15674
442,15701
