,0
0,16649
1,16650
2,16751
3,16651
4,16725
5,16790
6,16752
7,16726
8,16753
9,16652
10,16805
11,16791
12,16658
13,16742
14,16754
15,16728
16,16744
17,16743
18,112892287
19,112892285
20,16755
21,16792
22,16780
23,16659
24,16716
25,16771
26,16668
27,16653
28,16762
29,16654
30,16727
31,16793
32,112892301
33,112892299
34,16703
35,16747
36,16772
37,16717
38,16660
39,16745
40,16738
41,16729
42,16661
43,16732
44,112892307
45,112892305
46,16669
47,112892303
48,16800
49,16797
50,16678
51,114403703
52,114403707
53,16794
54,16781
55,16773
56,16764
57,16692
58,114403711
59,16655
60,16763
61,16757
62,16756
63,112892293
64,112892291
65,112892289
66,16704
67,16705
68,16656
69,16657
70,16749
71,16807
72,16662
73,16664
74,16666
75,16670
76,16671
77,16679
78,16680
79,16693
80,16694
81,16706
82,16710
83,16713
84,16718
85,16719
86,16730
87,16731
88,16748
89,16733
90,16734
91,16735
92,16736
93,16737
94,16739
95,16740
96,16741
97,112892283
98,16746
99,16750
100,16758
101,16760
102,16761
103,16765
104,16767
105,16769
106,16774
107,16776
108,16778
109,16782
110,16783
111,16795
112,16796
113,16798
114,16799
115,16801
116,16802
117,16803
118,16804
119,16806
120,16770
121,16681
122,16722
123,16695
124,16720
125,16684
126,16715
127,16714
128,16688
129,16712
130,16711
131,16709
132,16708
133,16707
134,112892295
135,16775
136,16676
137,16699
138,16777
139,16672
140,16697
141,16759
142,16779
143,16663
144,16766
145,16667
146,16665
147,16784
148,112892297
149,16786
150,16724
151,16768
152,16674
153,16789
154,16682
155,16696
156,16691
157,16675
158,16677
159,16690
160,16689
161,16673
162,16687
163,16686
164,16785
165,16787
166,16788
167,16685
168,16723
169,16721
170,16683
171,16702
172,16701
173,16700
174,112892281
175,16698
