,acronym,atlas_id,color_hex_triplet,depth,failed,failed_facet,graph_id,graph_order,hemisphere_id,id,name,neuro_name_structure_id,neuro_name_structure_id_path,ontology_id,parent_structure_id,safe_name,sphinx_id,st_level,structure_id_path,structure_name_facet,weight
1,r4B,,7E4FCC,5,FALSE,734881840,17,1781,3,17182,r4 basal plate,,,12,17156,r4 basal plate,11681,5,/15564/15565/16808/17092/17156/17182/,448744973,8390
4,POR,,C86A39,6,FALSE,734881840,17,6,3,15570,preoptic roof plate,,,12,15569,preoptic roof plate,9906,5,/15564/15565/15566/15567/15568/15569/15570/,3689428142,8390
8,r3F,,682EB3,5,FALSE,734881840,17,1735,3,17155,r3 floor plate,,,12,17093,r3 floor plate,11635,5,/15564/15565/16808/17092/17093/17155/,1249178787,8390
9,r10F,,669886,5,FALSE,734881840,17,2316,3,17595,r10 floor plate,,,12,17538,r10 floor plate,12216,5,/15564/15565/16808/17352/17538/17595/,1658084186,8390
11,THyA,,A8663A,6,FALSE,734881840,17,61,3,15623,alar part of terminal hypothalamus,,,12,15622,alar part of terminal hypothalamus,9961,5,/15564/15565/15566/15567/15568/15622/15623/,2600479877,8390
12,r1R,,F5B5FF,5,FALSE,734881840,17,1432,3,16916,r1 roof plate,,,12,16915,r1 roof plate,11332,5,/15564/15565/16808/16809/16915/16916/,4229402521,8390
14,p2R,,FEF3A8,6,FALSE,734881840,17,846,3,16377,roof plate of p2 (epithalamic roofplate),,,12,16376,roof plate of p2 (epithalamic roofplate),10746,5,/15564/15565/15566/16308/16375/16376/16377/,1928168571,8390
15,r4F,,6F45B3,5,FALSE,734881840,17,1819,3,17219,r4 floor plate,,,12,17156,r4 floor plate,11719,5,/15564/15565/16808/17092/17156/17219/,923267835,8390
17,r7B,,0EAE94,5,FALSE,734881840,17,2042,3,17380,r7 basal plate,,,12,17353,r7 basal plate,11942,5,/15564/15565/16808/17352/17353/17380/,2809471683,8390
18,p1R,,FFEB73,6,FALSE,734881840,17,986,3,16511,roof plate of p1,,,12,16510,roof plate of p1,10886,5,/15564/15565/15566/16308/16509/16510/16511/,100602734,8390
22,p1A,,FFE524,6,FALSE,734881840,17,994,3,16519,alar plate of p1,,,12,16510,alar plate of p1,10894,5,/15564/15565/15566/16308/16509/16510/16519/,1682467511,8390
23,r1B,,BE4ACC,5,FALSE,734881840,17,1495,3,16967,r1 basal plate,,,12,16915,r1 basal plate,11395,5,/15564/15565/16808/16809/16915/16967/,126942494,8390
25,m1B,,128F12,5,FALSE,734881840,17,1213,3,16726,basal plate of m1,,,12,16725,basal plate of m1,11113,5,/15564/15565/16649/16650/16725/16726/,1201835314,8390
26,m2B,,00A700,5,FALSE,734881840,17,1286,3,16791,m2 basal plate,,,12,16790,m2 basal plate,11186,5,/15564/15565/16649/16751/16790/16791/,2323388746,8390
29,p3F,,A69F6B,6,FALSE,734881840,17,837,3,16368,floor plate of p3,,,12,16352,floor plate of p3,10737,5,/15564/15565/15566/16308/16309/16352/16368/,2825858261,8390
30,r5F,,2775B3,5,FALSE,734881840,17,1911,3,17289,r5 floor plate,,,12,17221,r5 floor plate,11811,5,/15564/15565/16808/17220/17221/17289/,3935382398,8390
33,isA,,EA37FF,5,FALSE,734881840,17,1317,3,16813,isthmic alar plate,,,12,16810,isthmic alar plate,11217,5,/15564/15565/16808/16809/16810/16813/,4057512895,8390
34,r9F,,529886,5,FALSE,734881840,17,2239,3,17537,r9 floor plate,,,12,17476,r9 floor plate,12139,5,/15564/15565/16808/17352/17476/17537/,1881903749,8390
36,p1B,,CCB71D,6,FALSE,734881840,17,1106,3,16624,basal plate of p1,,,12,16623,basal plate of p1,11006,5,/15564/15565/15566/16308/16509/16623/16624/,3100565806,8390
37,r3R,,B378FF,5,FALSE,734881840,17,1657,3,17094,r3 roof plate,,,12,17093,r3 roof plate,11557,5,/15564/15565/16808/17092/17093/17094/,271323398,8390
42,m2F,,449F44,5,FALSE,734881840,17,1300,3,16805,m2 floor plate,,,12,16790,m2 floor plate,11200,5,/15564/15565/16649/16751/16790/16805/,2814682556,8390
43,r10B,,74AE99,5,FALSE,734881840,17,2281,3,17562,r10 basal plate,,,12,17538,r10 basal plate,12181,5,/15564/15565/16808/17352/17538/17562/,1332537260,8390
45,r6R,,8BCCFF,5,FALSE,734881840,17,1918,3,17291,r6 roof plate,,,12,17290,r6 roof plate,11818,5,/15564/15565/16808/17220/17290/17291/,2291099158,8390
