,acronym,atlas_id,color_hex_triplet,depth,failed,failed_facet,graph_id,graph_order,hemisphere_id,id,name,neuro_name_structure_id,neuro_name_structure_id_path,ontology_id,parent_structure_id,safe_name,sphinx_id,st_level,structure_id_path,structure_name_facet,weight
0,TuPal3,,EA9E4E,13,False,734881840,17,294,3,15849,polymorph layer of TuPal,,,12,15846,polymorph layer of TuPal,10194,12,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15834/15836/15845/15846/15849/,634227151,8390
1,Int,,F284FF,10,False,734881840,17,1447,3,16929,intermediate (interpositus) cerebellar nucleus,,,12,16928,intermediate (interpositus) cerebellar nucleus,11347,12,/15564/15565/16808/16809/16915/16919/16920/16924/16927/16928/16929/,943860013,8390
2,PrS-6a,,FF5974,13,False,734881840,17,639,3,16184,layer 6a of PrS,,,12,16183,layer 6a of PrS,10539,12,/15564/15565/15566/15567/15738/15739/15750/15903/16114/16172/16174/16177/16183/16184/,3886776606,8390
3,VMHce,,975C34,11,False,734881840,17,115,3,15677,central part of VMH,,,12,15675,central part of VMH,10015,12,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15673/15675/15677/,4176731096,8390
4,sol,,CCCCCC,2,False,734881840,17,2553,3,17796,solitary tract,,,12,17735,solitary tract,12453,12,/15564/17735/17796/,3517832558,8390
5,TuStr1,,EA9E4E,13,False,734881840,17,308,3,15863,plexiform layer of TuStr,,,12,15862,plexiform layer of TuStr,10208,12,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/15853/15861/15862/15863/,1319549988,8390
6,CC-6a,,F32F4F,13,False,734881840,17,536,3,16084,sublayer 6a of CCx,,,12,16083,sublayer 6a of CCx,10436,12,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16072/16074/16077/16083/16084/,787967326,8390
7,IAcr,,B0754D,11,False,734881840,17,89,3,15651,inverted amacrine cells,,,12,15649,inverted amacrine cells,9989,12,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/15649/15651/,957097037,8390
8,4Cb,,F070FF,10,False,734881840,17,1337,3,16833,lobule 4 of cerebellar vermis,,,12,16829,lobule 4 of cerebellar vermis,11237,12,/15564/15565/16808/16809/16810/16813/16814/16818/16828/16829/16833/,2203672102,8390
9,mtg,,CCCCCC,2,False,734881840,17,2538,3,17781,mammillotegmental tract,,,12,17735,mammillotegmental tract,12438,12,/15564/17735/17781/,1041591581,8390
10,PM,,F284FF,10,False,734881840,17,1461,3,16943,paramedian lobule,,,12,16939,paramedian lobule,11361,12,/15564/15565/16808/16809/16915/16919/16920/16924/16938/16939/16943/,2747160706,8390
11,3n,,CCCCCC,2,False,734881840,17,2491,3,17736,oculomotor nerve root,,,12,17735,oculomotor nerve root,12391,12,/15564/17735/17736/,1120638977,8390
12,8n,,CCCCCC,2,False,734881840,17,2501,3,17746,vestibulocochlear nerve root,,,12,17735,vestibulocochlear nerve root,12401,12,/15564/17735/17746/,2665188977,8390
13,ped,,CCCCCC,2,False,734881840,17,2545,3,17788,peduncle,,,12,17735,peduncle,12445,12,/15564/17735/17788/,3612560253,8390
14,d5th,,CCCCCC,2,False,734881840,17,2514,3,17757,decussation of trigeminothalamic tract,,,12,17735,decussation of trigeminothalamic tract,12414,12,/15564/17735/17757/,1307475655,8390
15,IGrH,,BB2CCC,10,False,734881840,17,1467,3,16949,internal granular layer of CbHCx,,,12,16939,internal granular layer of CbHCx,11367,12,/15564/15565/16808/16809/16915/16919/16920/16924/16938/16939/16949/,3044370664,8390
16,RSC-6b,,F32F4F,11,False,734881840,17,553,3,16101,layer 6b of RSC,,,12,16099,layer 6b of RSC,10453,12,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16093/16099/16101/,4220016404,8390
17,6Cb,,F070FF,10,False,734881840,17,1339,3,16835,lobule 6 of cerebellar vermis,,,12,16829,lobule 6 of cerebellar vermis,11239,12,/15564/15565/16808/16809/16810/16813/16814/16818/16828/16829/16835/,2903087014,8390
18,csp,,CCCCCC,2,False,734881840,17,2513,3,17756,corticospinal tract,,,12,17735,corticospinal tract,12413,12,/15564/17735/17756/,2338134602,8390
19,6SpM,,EBE3D5,8,False,734881840,17,2435,3,17687,medial (deep) part of 6Sp,,,12,17686,medial (deep) part of 6Sp,12335,12,/15564/15565/17651/17653/17677/17679/17682/17686/17687/,2228787356,8390
20,6n,,CCCCCC,2,False,734881840,17,2496,3,17741,abducens nerve root,,,12,17735,abducens nerve root,12396,12,/15564/17735/17741/,1301593739,8390
21,r2CGA,,D673E6,10,False,734881840,17,1629,3,17072,r2 part of CG alpha nucleus,,,12,17070,r2 part of CG alpha nucleus,11529,12,/15564/15565/16808/16809/17023/17053/17066/17068/17069/17070/17072/,655280499,8390
22,PC,,FFF189,12,False,734881840,17,889,3,16416,paracentral nucleus,,,12,16415,paracentral nucleus,10789,12,/15564/15565/15566/16308/16375/16376/16382/16395/16396/16398/16409/16415/16416/,613165177,8390
23,VPPC,,FFF189,12,False,734881840,17,904,3,16431,ventral posterior parvicellular nucleus,,,12,16423,ventral posterior parvicellular nucleus,10804,12,/15564/15565/15566/16308/16375/16376/16382/16395/16396/16398/16409/16423/16431/,2409230481,8390
24,MDM,,FFF189,12,False,734881840,17,885,3,16412,medial (magnocellular) part of MD,,,12,16411,medial (magnocellular) part of MD,10785,12,/15564/15565/15566/16308/16375/16376/16382/16395/16396/16398/16409/16411/16412/,2792216244,8390
25,9n,,CCCCCC,2,False,734881840,17,2502,3,17747,glossopharyngeal nerve root,,,12,17735,glossopharyngeal nerve root,12402,12,/15564/17735/17747/,1396536326,8390
26,FC-6a,,F32F4F,13,False,734881840,17,466,3,16014,sublayer 6a of FCx,,,12,16013,sublayer 6a of FCx,10366,12,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16002/16004/16007/16013/16014/,675065781,8390
27,LOT2,,DE5548,13,False,734881840,17,400,3,15953,layer 2 of LOT,,,12,15951,layer 2 of LOT,10300,12,/15564/15565/15566/15567/15738/15739/15750/15903/15904/15940/15942/15949/15951/15953/,1762360642,8390
28,PrS-6b,,FF5974,13,False,734881840,17,640,3,16185,layer 6b of PrS,,,12,16183,layer 6b of PrS,10540,12,/15564/15565/15566/15567/15738/15739/15750/15903/16114/16172/16174/16177/16183/16185/,1764001533,8390
29,3Cb,,F070FF,10,False,734881840,17,1336,3,16832,lobule 3 of cerebellar vermis,,,12,16829,lobule 3 of cerebellar vermis,11236,12,/15564/15565/16808/16809/16810/16813/16814/16818/16828/16829/16832/,3867172966,8390
30,5mes,,CCCCCC,2,False,734881840,17,2495,3,17740,"mesencephalic trigeminal tract (across m1, m2 and prepontine hindbrain)",,,12,17735,mesencephalic trigeminal tract (across m1 m2 and prepontine hindbrain),12395,12,/15564/17735/17740/,2185445064,8390
31,vtg,,CCCCCC,2,False,734881840,17,2564,3,17807,ventral tegmental decussation,,,12,17735,ventral tegmental decussation,12464,12,/15564/17735/17807/,2482574838,8390
32,Crus1,,F284FF,10,False,734881840,17,1459,3,16941,crus 1 of the ansiform lobule,,,12,16939,crus 1 of the ansiform lobule,11359,12,/15564/15565/16808/16809/16915/16919/16920/16924/16938/16939/16941/,3701756275,8390
33,VMHdm,,975C34,11,False,734881840,17,114,3,15676,dorsomedial part of VMH,,,12,15675,dorsomedial part of VMH,10014,12,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15673/15675/15676/,1537403800,8390
34,MGD,,FFF189,12,False,734881840,17,937,3,16464,dorsal subnucleus of MG,,,12,16462,dorsal subnucleus of MG,10837,12,/15564/15565/15566/16308/16375/16376/16382/16395/16453/16455/16461/16462/16464/,1924640375,8390
35,OC-6a,,F32F4F,13,False,734881840,17,494,3,16042,sublayer 6a of OCx,,,12,16041,sublayer 6a of OCx,10394,12,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16030/16032/16035/16041/16042/,669881402,8390
