,id,reference_space_id,structure_id,x,y,z
0,2678,4,16911,7376,2176,3660
1,207,1,17437,4560,3680,1340
2,2427,3,16652,7424,880,3640
3,150,1,16805,4016,1296,1400
4,1244,2,17595,7440,3280,3060
5,8932,9,17318,10575,6625,6275
6,3875,5,16919,6480,2576,1960
7,3835,5,16212,3744,3664,2020
8,32,1,15740,2240,2000,1560
9,4053,7,15623,6064,6584,4125
10,4121,7,17053,9431,5109,4175
11,5362,8,17091,9214,6064,5150
12,2147,3,16353,6224,2512,3360
13,352,1,126651838,4464,2208,920
14,3883,5,17094,6848,2864,2240
15,3997,6,17053,7505,4372,3380
16,4066,7,16212,6047,5779,3700
17,4240,8,15666,7890,6768,4650
18,1256,2,17620,7616,3184,2900
19,8776,9,17223,11125,5775,7300
20,3962,6,16511,5746,2245,3880
21,7876,9,16652,8825,2325,5725
22,8888,9,17291,11675,4800,5900
23,2413,3,16641,6704,2128,3720
24,5630,8,17418,12665,5779,3750
25,4112,7,16911,8192,4858,4850
26,4116,7,16967,9096,4741,4425
27,225,1,17652,640,2448,1160
28,4122,7,17091,8845,5528,4850
29,1030,2,17155,5872,2688,3260
30,820,2,16658,6064,944,2680
31,3064,4,17318,7360,3872,3480
32,202,1,17380,4528,3392,1320
33,4105,7,16805,8141,4841,4850
34,6280,9,15623,6175,6750,6525
35,8994,9,17355,11850,5950,7250
36,2573,3,16791,6960,2000,3380
37,215,1,17539,4944,4368,1280
38,5677,8,17475,11760,7421,5200
39,971,2,17025,5776,2528,2680
40,5598,8,17380,11643,6600,4700
41,4119,7,17024,10772,4540,3750
42,1274,2,17652,8320,4928,2880
43,3916,5,17620,7776,4032,2700
44,3907,5,17437,6960,3968,2640
45,3108,4,17354,8128,3088,3340
46,7383,10,16353,7900,5300,4290
47,8051,10,16753,10500,2400,5590
48,4137,7,17223,10118,5662,3350
49,7318,9,16311,6000,3450,6225
50,4028,6,17437,9013,5227,3380
51,331,1,126651714,3616,976,1460
52,4177,8,15570,5897,5310,5150
53,4087,7,16519,7622,3166,3950
54,5547,8,17318,11090,6466,4700
55,78,1,16382,2816,1072,1140
56,192,1,17289,4144,2928,1400
57,8309,10,16916,11450,5225,2740
58,3981,6,16805,6768,3752,3900
59,1196,2,17500,7232,3152,3100
60,2087,3,16311,5056,2240,3040
61,952,2,16967,6032,2096,3100
62,105,1,16641,3760,1104,1380
63,221,1,17598,4496,4752,1240
64,1106,2,17318,6400,3264,3180
65,4058,7,15740,5109,3233,4825
66,366,1,126651926,4848,3024,1220
67,469,2,15750,3728,2432,2500
68,3986,6,16813,7940,3099,2820
69,4031,6,17478,9666,4490,3060
70,326,1,126651686,3440,1168,1500
71,2757,3,17022,7248,2608,3660
72,3251,3,17500,8256,3984,3380
73,3843,5,16353,4400,3104,2400
74,3855,5,16624,4752,2320,2360
75,3943,6,16247,5947,4875,3120
76,4167,7,17620,12145,6533,4550
77,998,2,17091,6032,2448,3260
78,3292,4,17539,8944,2848,3340
79,5333,8,17053,10152,5444,4225
80,7862,9,16641,8325,5150,5750
81,2000,4,16212,5504,3184,3160
82,136,1,16754,4288,1440,1020
83,4157,7,17477,11643,5026,4700
84,1002,2,17095,5760,2816,2620
85,1528,4,15576,5104,3584,3380
86,342,1,126651774,4144,1264,1360
87,7650,9,16519,8100,3250,6750
88,8992,9,17354,11875,4850,5950
89,386,1,126652054,3856,4848,1440
90,3880,5,17053,5584,3184,2560
91,9098,9,17418,12275,5900,7225
92,3828,5,15750,2800,2640,1380
93,5627,8,17415,11257,7337,5200
94,5269,8,16967,9951,4975,4575
95,4148,7,17355,11023,5796,3625
96,3985,6,16811,9013,2814,3880
97,4178,8,15576,6165,6466,4700
98,2080,4,16306,6640,2704,3680
99,8777,10,17223,11125,5775,4090
100,2970,4,17222,7840,3008,3100
101,3287,3,17537,8560,3984,3480
102,1057,2,17219,5792,3040,3260
103,8769,10,17219,9125,6725,5640
104,4120,7,17025,9616,5193,3000
105,4164,7,17595,11810,7019,4850
106,7211,10,16247,7475,6075,4790
107,3107,3,17354,8128,3088,3340
108,1092,2,17291,6912,2464,2980
109,4996,8,16624,8828,4657,4325
110,9459,10,17734,12750,7050,5665
111,2531,3,16754,7696,1920,2940
112,1125,2,17354,7024,2464,3000
113,4095,7,16658,9130,2228,3775
114,3909,5,17478,7424,3504,2340
115,9034,9,17380,11125,6725,6225
116,312,1,126651614,2384,1712,1180
117,4004,6,17155,6852,5026,3900
118,8108,9,16791,9025,4350,6550
119,2272,4,16511,5920,1264,3740
120,185,1,17182,4096,2672,1300
121,3232,4,17477,8576,2912,3420
122,2640,4,16876,7248,2048,3460
123,4051,7,15576,5428,6584,4200
124,3823,5,15623,3600,4096,2160
125,8308,9,16916,11450,5225,8650
126,8562,9,17091,8825,5900,5775
127,8459,10,17024,11525,4325,5040
128,6281,10,15623,6175,6750,4865
129,154,1,16811,4656,1664,1400
130,915,2,16876,6000,1712,3080
131,3189,3,17437,7968,4016,3520
132,3993,6,17022,6768,4305,3860
133,854,2,16726,5664,1472,3060
134,630,2,16311,4336,2144,2680
135,196,1,17318,4400,3136,1320
136,3930,6,15666,5964,5511,3360
137,4142,7,17292,10504,5930,3575
138,1093,2,17292,6384,3072,2660
139,385,1,126652050,880,3376,1280
140,432,2,15666,5312,2896,3040
141,353,1,126651842,4176,2144,1300
142,1090,2,17289,5952,3328,3220
143,4086,7,16511,7605,2630,4850
144,222,1,17620,4256,4608,1300
145,308,1,126651590,3136,2320,1280
146,4166,7,17598,12581,6014,4075
147,9234,9,17500,12275,6750,6325
148,4126,7,17095,9900,5578,2950
149,3988,6,16911,6768,3937,3900
150,8669,10,17155,8750,6150,5640
151,2271,3,16511,5920,1264,3740
152,4125,7,17094,10906,4808,3100
153,5417,8,17157,11827,5495,2575
154,1569,3,15623,5536,3680,3360
155,3901,5,17354,7056,2960,2320
156,2501,3,16726,6928,1776,3440
157,3252,4,17500,8256,3984,3380
158,3955,6,16377,5076,1910,3860
159,3293,3,17540,8736,3440,3060
160,8134,9,16805,8575,5400,5750
161,3036,4,17289,7168,3776,3660
162,4050,7,15570,5210,5277,4850
163,4114,7,16916,10604,4406,4100
164,419,2,15623,4832,3312,2920
165,5107,8,16754,10135,3384,3925
166,309,1,126651594,3520,2208,1460
167,4037,6,17598,10302,4691,3220
168,5679,8,17477,12681,5109,5100
169,89,1,16502,3664,1168,1420
170,4082,7,16487,7857,4758,3875
171,4131,7,17158,9967,5980,2975
172,2593,3,16811,7984,2368,3740
173,1275,2,17653,7968,6080,3120
174,5389,8,17123,9884,5930,4675
175,3234,4,17478,8368,3536,2900
176,9035,10,17380,11125,6725,5165
177,60,1,16313,2992,1600,1220
178,9446,9,17650,12550,7175,5725
179,3874,5,16916,6912,2832,2140
180,5436,8,17182,9967,6282,4525
181,4030,6,17477,9431,3635,3880
182,350,1,126651822,4240,1856,1300
183,677,2,16382,4464,1808,3080
184,2148,4,16353,6224,2512,3360
185,2594,4,16811,7984,2368,3740
186,5135,8,16791,9431,4540,4400
187,9458,9,17734,12750,7050,5725
188,5023,8,16658,9800,2563,4225
189,8987,10,17351,10275,7250,5640
190,2026,4,16247,6128,2944,3320
191,4300,8,15736,8828,6064,5175
192,4685,8,16247,7991,6165,4375
193,3896,5,17291,6960,2976,2300
194,8135,10,16805,8575,5400,5640
195,3169,3,17417,8320,3008,3400
196,218,1,17595,4336,4272,1340
197,3040,4,17291,8000,3040,3280
198,174,1,17053,3920,2112,1200
199,2895,3,17155,6864,3296,3660
200,2160,4,16368,6592,2480,3700
201,2902,4,17158,7040,3344,2880
202,4117,7,17022,8493,5193,4850
203,5814,8,17653,13837,5913,5125
204,1060,2,17222,6832,2496,2620
205,1061,2,17223,6176,3008,2640
206,4152,7,17417,11257,5042,4675
207,4002,6,17095,8192,4423,2500
208,1288,2,17692,7504,6416,2680
209,2639,3,16876,7248,2048,3460
210,7319,10,16311,6000,3450,5165
211,8668,9,17155,8750,6150,5750
212,3354,4,17598,9104,3424,3080
213,8504,9,17053,9500,5375,6575
214,383,1,126652034,4368,4560,1320
215,8461,10,17025,10325,5225,3640
216,3915,5,17598,7984,3824,2340
217,59,1,16311,2640,1424,1360
218,380,1,126652014,4656,4256,1300
219,3171,3,17418,8048,3600,2900
220,8243,10,16876,9400,4300,4940
221,5018,8,16652,9498,2496,5200
222,7159,10,16212,6550,5775,4215
223,1227,2,17562,7408,3136,2940
224,13,1,15623,3152,2320,980
225,2585,3,16805,7264,2016,3680
226,3042,4,17292,7472,3632,2980
227,3847,5,16382,3808,2384,2240
228,3910,5,17500,7264,3952,2620
229,1183,2,17475,6928,3184,3180
230,5526,8,17292,11793,6031,3750
231,8376,9,16967,9500,4800,6450
232,147,1,16791,3920,1312,1160
233,667,2,16368,5344,2016,3320
234,8891,10,17292,11275,6125,4165
235,2762,4,17024,7984,2976,2980
236,6195,10,15570,5300,5125,5640
237,9196,9,17477,12350,4900,5825
238,92,1,16511,3216,576,1440
239,8993,10,17354,11875,4850,5440
240,2719,3,16967,7136,2528,3460
241,371,1,126651954,4688,3344,1240
242,3992,6,16967,7421,3853,3360
243,5235,8,16916,11592,5227,2325
244,1570,4,15623,5536,3680,3360
245,306,1,126651582,2944,2368,1360
246,3927,6,15576,4305,5344,3340
247,4158,7,17478,11860,5830,3775
248,2835,3,17095,7088,3168,2700
249,9235,10,17500,12275,6750,5065
250,2173,3,16382,5616,2128,3320
251,3865,5,16754,5952,1920,2140
252,5148,8,16805,8946,5645,5175
253,2172,4,16377,5440,1360,3740
254,3228,4,17475,7856,4192,3560
255,4094,7,16652,9197,2245,4850
256,4141,7,17291,10939,4942,4600
257,4153,7,17418,11442,5830,3575
258,2896,4,17155,6864,3296,3660
259,4904,8,16511,8007,3015,5175
260,96,1,16519,3312,800,1140
261,8995,10,17355,11850,5950,4140
262,373,1,126651970,4944,3632,1240
263,4127,7,17123,8962,5746,4350
264,8616,9,17123,9350,5875,6475
265,8890,9,17292,11275,6125,7225
266,1186,2,17478,7168,2832,2680
267,74,1,16368,3664,1328,1400
268,367,1,126651930,4592,3072,1240
269,3035,3,17289,7168,3776,3660
270,3990,6,16916,8242,3183,3760
271,2686,4,16916,8064,3024,2820
272,3291,3,17539,8944,2848,3340
273,7382,9,16353,7900,5300,7100
274,167,1,16916,5024,2160,1180
275,5468,8,17222,11877,4640,4500
