,acronym,atlas_id,color_hex_triplet,depth,failed,failed_facet,graph_id,graph_order,hemisphere_id,id,name,neuro_name_structure_id,neuro_name_structure_id_path,ontology_id,parent_structure_id,safe_name,sphinx_id,st_level,structure_id_path,structure_name_facet,weight
0,v_D,,FFF9C7,3,False,734881840,17,2585,3,126651634,"ventricles, diencephalon",,,12,126651562,ventricles diencephalon,12485,2,/15564/126651558/126651562/126651634/,1423004368,8390
1,v_PMH,,37A7FF,3,False,734881840,17,2650,3,126651894,"ventricles, pontomedullary hindbrain",,,12,126651782,ventricles pontomedullary hindbrain,12550,2,/15564/126651558/126651782/126651894/,2451404138,8390
2,v_SP,,A84D10,3,False,734881840,17,2568,3,126651566,"ventricles, secondary prosencephalon",,,12,126651562,ventricles secondary prosencephalon,12468,2,/15564/126651558/126651562/126651566/,2335105178,8390
3,PPH,,EA37FF,3,False,734881840,17,1309,3,16809,prepontine hindbrain,,,12,16808,prepontine hindbrain,11209,2,/15564/15565/16808/16809/,1929465485,8390
4,PMH,,37A7FF,3,False,734881840,17,1825,3,17220,pontomedullary hindbrain,,,12,16808,pontomedullary hindbrain,11725,2,/15564/15565/16808/17220/,181789471,8390
5,v_PPH,,EA37FF,3,False,734881840,17,2623,3,126651786,"ventricles, prepontine hindbrain",,,12,126651782,ventricles prepontine hindbrain,12523,2,/15564/126651558/126651782/126651786/,3629998552,8390
6,SP,,A84D10,3,False,734881840,17,3,3,15567,secondary prosencephalon,,,12,15566,secondary prosencephalon,9903,2,/15564/15565/15566/15567/,333870831,8390
7,PH,,9442FF,3,False,734881840,17,1655,3,17092,pontine hindbrain,,,12,16808,pontine hindbrain,11555,2,/15564/15565/16808/17092/,1974628853,8390
8,D,,FFF9C7,3,False,734881840,17,773,3,16308,diencephalon,,,12,15566,diencephalon,10673,2,/15564/15565/15566/16308/,2009448677,8390
9,v_MH,,12D9B9,3,False,734881840,17,2661,3,126651938,"ventricles, medullary hindbrain (medulla)",,,12,126651782,ventricles medullary hindbrain (medulla),12561,2,/15564/126651558/126651782/126651938/,2962010743,8390
10,MH,,12D9B9,3,False,734881840,17,2000,3,17352,medullary hindbrain (medulla),,,12,16808,medullary hindbrain (medulla),11900,2,/15564/15565/16808/17352/,1068606554,8390
11,v_PH,,9442FF,3,False,734881840,17,2639,3,126651850,"ventricles, pontine hindbrain",,,12,126651782,ventricles pontine hindbrain,12539,2,/15564/126651558/126651782/126651850/,2931561441,8390
