,acronym,atlas_id,color_hex_triplet,depth,failed,failed_facet,graph_id,graph_order,hemisphere_id,id,name,neuro_name_structure_id,neuro_name_structure_id_path,ontology_id,parent_structure_id,safe_name,sphinx_id,st_level,structure_id_path,structure_name_facet,weight
0,r2,,EE80FF,4,FALSE,734881840,17,1563,3,17023,rhombomere 2,,,12,16809,rhombomere 2,11463,3,/15564/15565/16808/16809/17023/,209911034,8390
1,r5,,37A7FF,4,FALSE,734881840,17,1826,3,17221,rhombomere 5,,,12,17220,rhombomere 5,11726,3,/15564/15565/16808/17220/17221/,2464573785,8390
3,r4,,9E63FF,4,FALSE,734881840,17,1741,3,17156,rhombomere 4,,,12,17092,rhombomere 4,11641,3,/15564/15565/16808/17092/17156/,3856751055,8390
7,r11,,BFD9BF,4,FALSE,734881840,17,2322,3,17596,rhombomere 11,,,12,17352,rhombomere 11,12222,3,/15564/15565/16808/17352/17596/,4120192394,8390
12,p3,,FFF9C7,4,FALSE,734881840,17,774,3,16309,prosomere 3,,,12,16308,prosomere 3,10674,3,/15564/15565/15566/16308/16309/,4213477985,8390
15,m2,,00D100,3,FALSE,734881840,17,1239,3,16751,mesomere 2 (preisthmus or caudal midbrain),,,12,16649,mesomere 2 (preisthmus or caudal midbrain),11139,3,/15564/15565/16649/16751/,893061477,8390
17,RSP,,A84D10,4,FALSE,734881840,17,4,3,15568,rostral secondary prosencephalon,,,12,15567,rostral secondary prosencephalon,9904,3,/15564/15565/15566/15567/15568/,2675393843,8390
18,r8,,4FD9BF,4,FALSE,734881840,17,2085,3,17416,rhombomere 8,,,12,17352,rhombomere 8,11985,3,/15564/15565/16808/17352/17416/,3965130212,8390
22,r1,,EE5DFF,4,FALSE,734881840,17,1431,3,16915,rhombomere 1,,,12,16809,rhombomere 1,11331,3,/15564/15565/16808/16809/16915/,2508959040,8390
23,p1,,FFE524,4,FALSE,734881840,17,984,3,16509,prosomere 1,,,12,16308,prosomere 1,10884,3,/15564/15565/15566/16308/16509/,355136333,8390
24,is,,EA37FF,4,FALSE,734881840,17,1310,3,16810,isthmus,,,12,16809,isthmus,11210,3,/15564/15565/16808/16809/16810/,662685058,8390
25,r7,,12D9B9,4,FALSE,734881840,17,2001,3,17353,rhombomere 7,,,12,17352,rhombomere 7,11901,3,/15564/15565/16808/17352/17353/,2095581301,8390
30,m1,,17B317,3,FALSE,734881840,17,1133,3,16650,mesomere 1,,,12,16649,mesomere 1,11033,3,/15564/15565/16649/16650/,546187487,8390
31,r3,,9442FF,4,FALSE,734881840,17,1656,3,17093,rhombomere 3,,,12,17092,rhombomere 3,11556,3,/15564/15565/16808/17092/17093/,2072366188,8390
32,r10,,91D9BF,4,FALSE,734881840,17,2245,3,17538,rhombomere 10,,,12,17352,rhombomere 10,12145,3,/15564/15565/16808/17352/17538/,2190611740,8390
33,r9,,75D9BF,4,FALSE,734881840,17,2164,3,17476,rhombomere 9,,,12,17352,rhombomere 9,12064,3,/15564/15565/16808/17352/17476/,2605720946,8390
35,CSP,,ED985C,4,FALSE,734881840,17,176,3,15738,caudal secondary prosencephalon,,,12,15567,caudal secondary prosencephalon,10076,3,/15564/15565/15566/15567/15738/,3159793856,8390
36,p2,,FFF189,4,FALSE,734881840,17,844,3,16375,prosomere 2,,,12,16308,prosomere 2,10744,3,/15564/15565/15566/16308/16375/,2351145719,8390
37,r6,,5DB8FF,4,FALSE,734881840,17,1917,3,17290,rhombomere 6,,,12,17220,rhombomere 6,11817,3,/15564/15565/16808/17220/17290/,200227043,8390
